"surface_id","subviews","intended_roles","nav_permission","render_gate","primary_actions","site_proxies_or_server_actions","upstream_endpoints","primary_entities","source_evidence","status"
"calendar","week; month; day; event detail; conflict indicators; job completion","owner; office; crew; sales and read_only by declared permissions","bookings.manage OR appointments.read","hasCrew OR hasOffice OR hasOwner","change range/view; inspect event and conflicts; complete or cancel job; set final total and crew; open public reschedule","/api/team/appointments/status; server-rendered callAdminApi reads","/api/admin/calendar/feed; /api/admin/team/directory; /api/appointments/:id/status","appointments; external calendar events; conflicts; contacts; crew members; pricing","apps/site/src/app/team/components/CalendarSection.tsx:39; apps/site/src/app/team/components/CalendarEventDetail.tsx:16; apps/site/src/app/team/page.tsx:759","canonical; access drift: sales/read_only can satisfy nav permission but global auth/render reject them"
"inbox","thread list; filtered views; thread detail; compose; failed sends; contact workspace; notes/reminders; AI draft and media analysis","owner; office; sales by declared permissions","messages.send","hasOffice OR hasOwner","create/search/filter/update threads; send or delete messages; retry failures; call contact; mark touch/disposition; generate AI reply","createThreadAction; sendThreadMessageAction; sendDraftMessageAction; suggestThreadReplyAction; retryFailedMessageAction; deleteMessageAction; updateThreadAction; /api/team/inbox/threads/:id/suggest; contact workspace proxies","/api/admin/inbox/threads*; /api/admin/inbox/failed-sends; /api/admin/providers/health; /api/admin/team/directory; /api/admin/contacts*; /api/admin/crm/tasks*; /api/admin/calls/start; /api/admin/sales/touch; /api/admin/sales/disposition","conversation threads; messages; participants; contacts; CRM tasks/reminders; drafts; media; provider health","apps/site/src/app/team/components/InboxSection.tsx:17; apps/site/src/app/team/components/InboxSection.tsx:628; apps/site/src/app/team/components/InboxSection.tsx:1278; apps/site/src/app/team/page.tsx:741","canonical; access drift: sales is permissioned but globally rejected; inbox_offset is discarded before render"
"contacts","directory/search; paginated list; contact detail; properties; notes/reminders; pipeline/assignee; AI/media; appointment and partner access","owner; office; sales by declared permissions","bookings.manage","hasOffice OR hasOwner","create/update/delete contact; add/update/delete property; assign owner/stage; manage notes/reminders; call; book; invite partner user","/api/team/contacts*; /api/team/contacts/pipeline; /api/team/contacts/assignee; /api/team/contacts/notes*; /api/team/contacts/reminders*; /api/team/contacts/media-analysis; /api/team/contacts/sales-agent-*; addPropertyAction; bookAppointmentAction; deleteContactAction; partnerPortalInviteUserAction","/api/admin/contacts*; /api/admin/crm/pipeline; /api/admin/crm/tasks*; /api/admin/crm/reminders*; /api/admin/booking/book; /api/admin/calls/start; /api/admin/partners/users","contacts; properties; pipeline records; team assignments; CRM tasks/reminders; appointments; quote media; AI memory/next actions; partner users","apps/site/src/app/team/components/ContactsSection.tsx:105; apps/site/src/app/team/components/ContactsDetailsPaneClient.tsx:18; apps/site/src/app/team/components/ContactsDetailsPaneClient.tsx:140; apps/site/src/app/team/page.tsx:817","canonical; access drift: sales is permissioned but globally rejected; destructive operations share the dense detail pane"
"quotes","create quote builder; manage quote list; quote status/actions","owner; office; crew; sales and read_only by declared permissions","appointments.read","hasCrew OR hasOffice OR hasOwner","configure pricing and line items; create; send/share; record accept/decline; delete","createQuoteAction; sendQuoteAction; quoteDecisionAction; deleteQuoteAction","/api/quotes; /api/quotes/:id; /api/quotes/:id/send; /api/quotes/:id/decision; /api/admin/contacts","quotes; pricing/line items; share tokens; contacts; properties; service zones","apps/site/src/app/team/components/QuotesHubSection.tsx:16; apps/site/src/app/team/components/QuoteBuilderSection.tsx:21; apps/site/src/app/team/components/QuotesSection.tsx:1; apps/site/src/app/team/actions.ts:224; apps/site/src/app/team/actions.ts:476; apps/site/src/app/team/actions.ts:862","canonical; builder and manage always co-render; quoteMode is ignored; crew render and quote mutation permissions can diverge"
"expenses","new expense form; 30-day/MTD/YTD summaries; recent expenses; receipt links","owner; office; crew; read_only by declared permissions","expenses.read","hasCrew OR hasOffice OR hasOwner","log amount/date/category/vendor/method/memo/coverage; upload and view receipt","/api/team/expenses; /api/team/expenses/:id/receipt","/api/admin/expenses; /api/admin/expenses/summary; /api/admin/expenses/:id/receipt","expenses; receipts; reporting windows","apps/site/src/app/team/components/ExpensesSection.tsx:51; apps/site/src/app/api/team/expenses/route.ts:52; apps/site/src/app/team/page.tsx:727","canonical; read_only nav implication is rejected globally; no visible edit/delete correction path"
"pipeline","stage board; contact detail; recent automation audit","owner; office; sales by declared permissions","bookings.manage","hasOffice OR hasOwner","filter/select contact; drag or choose stage; use embedded contact quick actions; inspect automation history","/api/team/contacts/pipeline; embedded ContactsDetailsPaneClient proxies/actions","/api/admin/crm/pipeline; /api/admin/crm/pipeline/audit; /api/admin/team/directory; /api/admin/contacts*","pipeline records/stages; contacts; team members; audit/activity","apps/site/src/app/team/components/PipelineSection.tsx:14; apps/site/src/app/team/components/PipelineBoardClient.tsx:43; apps/site/src/app/team/components/PipelineAudit.tsx:29; apps/site/src/app/team/page.tsx:777","canonical; access drift: sales is permissioned but globally rejected; board density grows with unbounded stage content"
"sales-hq","scorecard; supervisor snapshot; speed-to-lead queue; follow-up queue; human-review queue; selected lead; call coaching","owner; office; sales by declared permissions","messages.send","hasOffice OR hasOwner","select queued lead; mark touch/disposition; start call; open prepared draft/inbox; reset sales state; delete coaching record","/api/team/contacts/summary; /api/team/sales/touch; /api/team/sales/disposition; /api/team/sales/reset; /api/team/calls/start; /api/team/calls/coaching/:id; /api/team/inbox/threads/:id/suggest","/api/admin/sales/scorecard; /api/admin/sales/queue; /api/admin/sales/activity; /api/admin/calls/coaching*; /api/admin/team/members; /api/admin/contacts*; /api/admin/inbox/threads/:id/suggest","sales queue items/tasks; contacts; scorecards; dispositions/touches; call records/coaching; drafts; supervisor metrics","apps/site/src/app/team/components/SalesScorecardSection.tsx:16; apps/site/src/app/team/components/SalesHqClient.tsx:236; apps/site/src/app/team/components/SalesHqClient.tsx:316; apps/site/src/app/team/page.tsx:785","canonical; access drift: salesperson workflow exists but sales role is globally rejected"
"simulated-chat","contact lookup; scenario composer; transcript/result; local run history","owner; office; sales by declared permissions","messages.send","hasOffice OR hasOwner","find/select contact; configure scenario; run sales simulation; inspect/reopen up to 30 local runs","/api/team/contacts; /api/team/simulated-chat; localStorage stonegate.simulated-chat.runs.v1","/api/admin/contacts; /api/admin/sales/simulated-chat","contacts; simulated conversations; model evaluation/result; browser-local run history","apps/site/src/app/team/components/SimulatedChatSection.tsx:122; apps/site/src/app/team/components/SimulatedChatSection.tsx:148; apps/site/src/app/team/components/SimulatedChatSection.tsx:183; apps/site/src/app/team/page.tsx:793","canonical; access drift: sales is permissioned but globally rejected; run history is device-local"
"outbound","scoreboard; filterable/paginated account queue; selected account brief/history; bulk controls; CSV import","owner; office; sales by declared permissions","messages.send","hasOffice OR hasOwner","import prospects; assign/start/snooze in bulk; call/open thread; draft first touch/follow-up; set disposition/callback/recap","importOutboundProspectsAction; bulkOutboundAction; draftOutboundFirstTouchAction; draftOutboundFollowupAction; openContactThreadAction; setOutboundDispositionAction; startContactCallAction","/api/admin/outbound/queue; /api/admin/outbound/import; /api/admin/outbound/bulk; /api/admin/outbound/draft; /api/admin/outbound/disposition; /api/admin/inbox/threads/ensure; /api/admin/calls/start; /api/admin/team/directory","outbound accounts; contacts; tasks; campaigns; dispositions; AI account briefs; touch history; team assignments","apps/site/src/app/team/components/OutboundSection.tsx:216; apps/site/src/app/team/components/OutboundSection.tsx:524; apps/site/src/app/team/components/OutboundSection.tsx:1161; apps/site/src/app/team/actions.ts:5529; apps/site/src/app/team/actions.ts:5871","canonical; access drift: salesperson workflow exists but sales role is globally rejected"
"partners","filterable/paginated partner directory; partner actions; portal users; negotiated rate editor","owner","owner","hasOwner","filter/select partner; call/open thread; log referral/touch; schedule check-in; invite portal user; edit rates","partnerLogReferralAction; partnerLogTouchAction; partnerScheduleCheckinAction; partnerPortalInviteUserAction; partnerPortalSaveRatesAction; openContactThreadAction; startContactCallAction","/api/admin/partners; /api/admin/partners/checkin; /api/admin/partners/touch; /api/admin/partners/referral; /api/admin/partners/users; /api/admin/partners/rates; /api/admin/team/directory","partner contacts/organizations; owners; referrals/touches/check-ins; portal users; negotiated rate tiers","apps/site/src/app/team/components/PartnersSection.tsx:94; apps/site/src/app/team/components/PartnersSection.tsx:123; apps/site/src/app/team/components/PartnersSection.tsx:164; apps/site/src/app/team/actions.ts:5977; apps/site/src/app/team/page.tsx:809","canonical; owner-only by both navigation and render"
