"tab_id","nav_permission","owner_expected_actual","office_expected_actual","sales_expected_actual","crew_expected_actual","read_only_expected_actual","custom_grant_deny_expected_actual","direct_url_behavior","mutation_authorization_summary","evidence"
"calendar","bookings.manage OR appointments.read","E: allow (*); A: nav and content allow.","E: allow (both defaults); A: nav and content allow.","E: allow (both defaults); A: valid session is rejected because page admits only owner/office/crew slugs.","E: allow (appointments.read); A: nav and content allow.","E: allow (generic read matches appointments.read); A: valid session is rejected by page role gate.","E: allow iff either permission survives deny; A: every custom role is rejected before permission evaluation.","Accepted owner/office/crew principals render; a principal lacking both permissions is redirected; sales/read_only/custom redirect to login before tab resolution.","Appointment writes require appointments.update and completion totals also payments.collect upstream, but the server action lacks a local principal gate; absent actor headers make upstream permission checks fail open, and non-2xx can still produce success feedback.","apps/site/src/app/team/page.tsx:499-505,759-765; apps/site/src/app/team/actions.ts:97-129; apps/api/app/api/appointments/[id]/status/route.ts:108-149; apps/api/src/lib/permissions.ts:131-138"
"inbox","messages.send","E: allow (*); A: nav and content allow.","E: allow (default); A: nav and content allow.","E: allow (default); A: valid session is rejected by page role gate.","E: deny (no messages.send); A: direct URL redirects to Calendar.","E: deny (read does not match send); A: valid session is rejected by page role gate.","E: allow iff messages.send survives deny; A: every custom role is rejected before permission evaluation.","Owner/office render; accepted principals without messages.send redirect to a permitted fallback; sales/read_only/custom redirect to login.","Thread/message endpoints check messages.read/send, but multiple same-origin proxies have no session gate and identity-less upstream calls fail open; UI visibility is not an authorization boundary.","apps/site/src/app/team/page.tsx:416-421,644-680,741-757; apps/site/src/app/api/team/inbox/threads/[threadId]/suggest/route.ts:8-30; apps/api/app/api/admin/inbox/threads/route.ts:165,771; apps/api/src/lib/permissions.ts:131-138"
"contacts","bookings.manage","E: allow (*); A: nav and content allow.","E: allow (default); A: nav and content allow.","E: allow (default); A: valid session is rejected by page role gate.","E: deny; A: direct URL redirects to Calendar.","E: deny; A: valid session is rejected by page role gate.","E: allow iff bookings.manage survives deny; A: every custom role is rejected before permission evaluation.","Owner/office render; accepted principals lacking bookings.manage redirect; sales/read_only/custom redirect to login.","Core contact/property/delete/pipeline APIs are admin-key-only and several AI/contact proxies are unguarded; destructive mutations therefore depend on hidden UI or caller-supplied actor context rather than a complete permission check.","apps/site/src/app/team/page.tsx:470-475,817-831; apps/site/src/app/team/actions.ts:2441-2802; apps/api/app/api/admin/contacts/[contactId]/route.ts:238-310; apps/site/src/app/api/team/contacts/media-analysis/route.ts:8-45"
"quotes","appointments.read","E: allow (*); A: nav and content allow.","E: allow (default); A: nav and content allow.","E: allow (default); A: valid session is rejected by page role gate.","E: tab/read access allowed by appointments.read; write/send require quotes.*; A: tab renders, but default crew lacks quotes.read/write/send.","E: tab allowed because generic read matches appointments.read; A: valid session is rejected by page role gate.","E: allow tab iff appointments.read survives deny and actions only iff their quotes.* permission survives; A: every custom role is rejected before permission evaluation.","Owner/office/crew pass the tab check and render; crew reaches a largely nonfunctional workflow; sales/read_only/custom redirect to login.","Create/send APIs enforce quotes.write/quotes.send and audit, but server actions have no local principal gate and identity-less permission resolution fails open; the tab permission is not the action permission set.","apps/site/src/app/team/page.tsx:407-413,767-775; apps/site/src/app/team/actions.ts:224-287,862-1100; apps/api/app/api/quotes/route.ts:288-304; apps/api/app/api/quotes/[id]/send/route.ts:40-45"
"expenses","expenses.read","E: allow (*); A: nav and content allow.","E: allow (default); A: nav and content allow.","E: deny; A: valid session is rejected by page role gate.","E: allow (default); A: nav and content allow.","E: allow (generic read matches expenses.read); A: valid session is rejected by page role gate.","E: allow iff expenses.read survives deny; writes additionally require expenses.write; A: every custom role is rejected by page role gate.","Owner/office/crew with read access render; accepted principals lacking it redirect; sales/read_only/custom redirect to login.","Site expense proxy checks role/effective write permission and upstream checks expenses.read/write, but any nonempty legacy owner/crew cookie is accepted; receipt and duplicate-submit behavior remains runtime-unverified.","apps/site/src/app/team/page.tsx:398-405,727-733; apps/site/src/app/api/team/expenses/route.ts:39-58,128-153; apps/api/app/api/admin/expenses/route.ts:54,118"
"pipeline","bookings.manage","E: allow (*); A: nav and content allow.","E: allow (default); A: nav and content allow.","E: allow (default); A: valid session is rejected by page role gate.","E: deny; A: direct URL redirects to Calendar.","E: deny; A: valid session is rejected by page role gate.","E: allow iff bookings.manage survives deny; A: every custom role is rejected before permission evaluation.","Owner/office render; accepted principals lacking bookings.manage redirect; sales/read_only/custom redirect to login.","Stage mutation is admin-key-only with no requirePermission and its server action has no local principal check, so page/nav gating is the effective barrier and can be bypassed.","apps/site/src/app/team/page.tsx:428-433,777-783; apps/site/src/app/team/actions.ts:2758-2802; apps/api/app/api/admin/crm/pipeline/[contactId]/route.ts:12-21,49-126"
"sales-hq","messages.send","E: allow (*); A: nav and content allow.","E: allow (default); A: nav and content allow.","E: allow (default); A: valid session is rejected by page role gate.","E: deny; A: direct URL redirects to Calendar.","E: deny; A: valid session is rejected by page role gate.","E: allow iff messages.send survives deny; A: every custom role is rejected before permission evaluation.","Owner/office render; accepted principals without messages.send redirect; sales/read_only/custom redirect to login.","Operational mutations actually require appointments.update, policy.write, or sales.reset upstream rather than the nav permission; unguarded server actions plus identity-less fail-open permission resolution leave direct invocation risk.","apps/site/src/app/team/page.tsx:435-440,785-791; apps/site/src/app/team/actions.ts:4854-5038; apps/api/app/api/admin/sales/disposition/route.ts:58-66; apps/api/app/api/admin/sales/reset/route.ts:18"
"simulated-chat","messages.send","E: allow (*); A: nav and content allow.","E: allow (default); A: nav and content allow.","E: allow (default); A: valid session is rejected by page role gate.","E: deny; A: direct URL redirects to Calendar.","E: deny; A: valid session is rejected by page role gate.","E: allow iff messages.send survives deny; A: every custom role is rejected before permission evaluation.","Owner/office render; accepted principals without messages.send redirect; sales/read_only/custom redirect to login.","The upstream simulator requires messages.send and is statically non-mutating, but its site proxy uses role slugs and accepts forged legacy owner-cookie presence; provider isolation still needs runtime proof.","apps/site/src/app/team/page.tsx:442-447,793-799; apps/site/src/app/api/team/simulated-chat/route.ts:8-24; apps/api/app/api/admin/sales/simulated-chat/route.ts:121-173"
"outbound","messages.send","E: allow (*); A: nav and content allow.","E: allow (default); A: nav and content allow.","E: allow (default); A: valid session is rejected by page role gate.","E: deny; A: direct URL redirects to Calendar.","E: deny; A: valid session is rejected by page role gate.","E: allow iff messages.send survives deny; A: every custom role is rejected before permission evaluation.","Owner/office render; accepted principals without messages.send redirect; sales/read_only/custom redirect to login.","Most list/import/disposition/cadence mutations require appointments.read/update while drafts require messages.send; the nav exposes only messages.send, server actions lack local auth, and identity-less upstream checks fail open.","apps/site/src/app/team/page.tsx:449-454,801-807; apps/site/src/app/team/actions.ts:5529-5975; apps/api/app/api/admin/outbound/import/route.ts:185; apps/api/app/api/admin/outbound/draft/route.ts:185"
"partners","owner (hard-coded role requirement; no effective-permission contract)","E: allow; A: nav and content allow by owner slug.","E: deny under current owner-only contract; A: direct URL redirects despite office having some underlying partner API permissions.","E: deny under current contract; A: page rejects the role before tab evaluation.","E: deny; A: direct URL redirects to Calendar.","E: deny; A: page rejects the role before tab evaluation.","E: an explicit effective permission must replace the owner slug before grants/denies can govern this tab; A: custom roles are rejected.","Only owner renders; office/crew are redirected by active-tab owner check; sales/read_only/custom redirect to login.","Partner reads/touches use appointments.read/update while portal users/rates use policy.write; server actions lack local auth, identity-less checks fail open, and invite/rate mutations have no audit event identified.","apps/site/src/app/team/page.tsx:456-461,809-815; apps/site/src/app/team/actions.ts:5977-6245; apps/api/app/api/admin/partners/route.ts:41; apps/api/app/api/admin/partners/users/route.ts:24,65"
"google-ads","policy.read","E: allow (*); A: nav and content allow.","E: allow (default); A: nav allows and direct tab passes permission check, but content is blank because render requires owner.","E: deny; A: page rejects the role.","E: deny; A: direct URL redirects to Calendar.","E: allow (generic read matches policy.read); A: page rejects the role.","E: allow iff policy.read survives deny; policy.write governs analyst changes; A: custom roles are rejected, and non-owner grants would still hit blank content.","Owner renders; office/read-capable principals can pass tab permission but non-owner render branch is absent; sales/read_only/custom are rejected before this mismatch can render.","Analyst reads/writes enforce policy.read/write, but sync is admin-key-only; server actions lack local auth and identity-less permission checks fail open, allowing provider work without a verified principal.","apps/site/src/app/team/page.tsx:463-468,857-866; apps/site/src/app/team/actions.ts:5096-5305; apps/api/app/api/admin/google/ads/analyst/run/route.ts:13; apps/api/app/api/admin/google/ads/sync/route.ts:10-56"
"web-analytics","policy.read","E: allow (*); A: nav and content allow.","E: allow (default); A: nav/direct URL allow but content is blank because render requires owner.","E: deny; A: page rejects the role.","E: deny; A: direct URL redirects to Calendar.","E: allow (generic read matches policy.read); A: page rejects the role.","E: allow iff policy.read survives deny; A: custom roles are rejected, and an office grant/default still cannot render content.","Owner renders; office passes active-tab permission then sees a blank shell; crew redirects; sales/read_only/custom redirect to login.","No mutation UI identified; analytics GETs are admin-key-only with no requirePermission, so confidentiality depends on the flawed page boundary rather than an upstream read permission.","apps/site/src/app/team/page.tsx:470-475,868-878; apps/site/src/app/team/components/WebAnalyticsSection.tsx:108-165; apps/api/app/api/admin/web/analytics/summary/route.ts:22-31"
"seo","policy.read","E: allow (*); A: nav and content allow.","E: allow (default); A: nav/direct URL allow but content is blank because render requires owner.","E: deny; A: page rejects the role.","E: deny; A: direct URL redirects to Calendar.","E: allow (generic read matches policy.read); A: page rejects the role.","E: allow iff policy.read survives deny and publication needs a distinct write permission; A: custom roles are rejected, and non-owner grants would still render blank.","Owner renders; office passes permission then sees a blank shell; crew redirects; sales/read_only/custom redirect to login.","Run Now is admin-key-only with no requirePermission or member audit and can trigger AI cost/public publication through an unguarded server action; nav policy.read does not represent this write risk.","apps/site/src/app/team/page.tsx:477-482,880-886; apps/site/src/app/team/actions.ts:5040-5094; apps/api/app/api/admin/seo/run/route.ts:10-23"
"owner","owner (hard-coded role requirement; no effective-permission contract)","E: allow; A: nav and content allow by owner slug.","E: deny under current owner-only contract; A: direct URL redirects.","E: deny; A: page rejects the role.","E: deny; A: direct URL redirects to Calendar.","E: deny; A: page rejects the role.","E: explicit finance permissions must replace owner slug before grants/denies can govern; A: custom roles are rejected.","Only owner renders; office/crew redirect to a permitted fallback; sales/read_only/custom redirect to login.","Payment reconciliation independently requires payments.manage plus owner actor and audits, but forged legacy owner-cookie presence supplies owner; other Owner HQ reads/actions use mixed key-only/permission gates and need per-action enforcement.","apps/site/src/app/team/page.tsx:484-489,833-839; apps/site/src/app/team/actions.ts:640-792; apps/api/app/api/admin/payments/reconciliation/route.ts:92-103"
"commissions","access.manage","E: allow (*); A: nav/content allow, but supported team-owner payout proxy mutations are rejected without a legacy admin cookie.","E: deny by default; A: direct URL redirects; granting access.manage would pass nav then render blank.","E: deny; A: page rejects the role.","E: deny; A: direct URL redirects to Calendar.","E: deny; A: page rejects the role.","E: allow iff access.manage survives deny; A: custom roles are rejected and non-owner grants cannot render content.","Owner renders; office with a grant could pass the active-tab check but sees blank content; other default roles redirect/login.","Upstream financial routes enforce access.manage, but site payout-run proxies require only legacy admin-cookie presence: valid team owner is blocked while a forged nonempty legacy cookie is accepted.","apps/site/src/app/team/page.tsx:498-503,849-855; apps/site/src/app/api/team/commissions/payout-runs/route.ts:8-68; apps/api/app/api/admin/commissions/payout-runs/[payoutRunId]/lock/route.ts:12-37"
"policy","policy.read","E: allow (*); A: nav and content allow.","E: allow (default); A: nav/direct URL allow but content is blank because render requires owner.","E: deny; A: page rejects the role.","E: deny; A: direct URL redirects to Calendar.","E: allow (generic read matches policy.read); A: page rejects the role.","E: allow iff policy.read survives deny; writes need policy.write; A: custom roles are rejected and non-owner grants cannot render content.","Owner renders; office passes active-tab permission then sees blank shell; crew redirects; sales/read_only/custom redirect to login.","Upstream reads/writes enforce policy.read/write and audit writes, but server actions have no local principal gate and identity-less calls fail open; page owner-only rendering contradicts office defaults.","apps/site/src/app/team/page.tsx:491-496,841-847; apps/site/src/app/team/actions.ts:3011-3678; apps/api/app/api/admin/policy/route.ts:66,104; apps/api/src/lib/permissions.ts:131-138"
