"surface_id","sensitive_action","invoking_ui_or_action","site_auth_gate","upstream_auth_permission","audit_attribution","static_result","risk_or_runtime_gap","evidence"
"calendar","Change appointment status; complete job; assign crew/owner; set final total","Calendar appointment form -> updateApptStatus server action -> POST /api/appointments/:id/status","Page renders for owner/office/crew; server action has no action-local principal check","Admin key plus appointments.update; completion with a final total also requires payments.collect","appointment.status.updated with actor forwarded by callAdminApi","static-mixed","Upstream permission and audit exist, but an identity-less server-action call can reach fail-open requirePermission when no default actor is injected; non-2xx is also reported as success. Runtime mutation/idempotency/concurrency proof blocked","apps/site/src/app/team/page.tsx:777-789; apps/site/src/app/team/actions.ts:97-129; apps/site/src/app/team/lib/api.ts:114-147; apps/api/app/api/appointments/[id]/status/route.ts:108-149,622-632; apps/api/src/lib/permissions.ts:131-138"
"inbox","Queue outbound SMS/email/DM with optional media","Inbox composer -> sendThreadMessageAction -> thread ensure/upload/message endpoints","Page renders for owner/office; server action has no action-local principal check","Admin key plus messages.send on ensure, upload, and message POST","thread.created/message.queued using forwarded actor; provider dispatch later uses worker attribution","static-mixed","Permission and audit exist, but identity-less server actions inherit fail-open permission behavior when no default actor is injected; provider send, DNC, duplicate-click, attachment fan-out, and partial failure require sandbox runtime proof","apps/site/src/app/team/actions.ts:4370-4633; apps/api/app/api/admin/inbox/threads/ensure/route.ts:16-21,120-125; apps/api/app/api/admin/inbox/uploads/route.ts:49-54; apps/api/app/api/admin/inbox/threads/[threadId]/messages/route.ts:35-43,307-317; apps/api/src/lib/permissions.ts:131-138"
"inbox","Generate AI reply suggestion and draft","Inbox Suggest UI -> POST /api/team/inbox/threads/:threadId/suggest","Same-origin proxy performs no requireTeamRole/session validation","Admin key plus messages.send; absent user actor headers make requirePermission fail open unless a default actor is injected","inbox.suggest.draft_created; anonymous call is labeled team-console with no verified actor ID","static-fail","Anonymous same-origin requests can trigger AI work and draft mutations; cost, cross-thread ID access, default-actor configuration, and provider behavior need runtime verification","apps/site/src/app/api/team/inbox/threads/[threadId]/suggest/route.ts:8-30; apps/site/src/app/team/lib/api.ts:69-147; apps/api/app/api/admin/inbox/threads/[threadId]/suggest/route.ts:1213-1221,1928-1938; apps/api/src/lib/permissions.ts:131-138"
"contacts","Delete contact and phone-matched instant quotes","Contact danger form -> deleteContactAction -> DELETE /api/admin/contacts/:contactId","Page renders for owner/office; server action has no action-local principal check","Admin key only; contact DELETE has no requirePermission","contact.deleted, but unverified calls can be labeled team-console and include no member ID","static-fail","Authorization is hidden-UI dependent; deletion also removes phone-matched instant quotes and has no preview/recovery. Cross-contact/cascade behavior needs fixture replay","apps/site/src/app/team/actions.ts:2558-2586; apps/api/app/api/admin/contacts/[contactId]/route.ts:238-310; apps/site/src/app/team/lib/api.ts:114-147"
"contacts","Rebuild media analysis, agent memory, or next action","Customer workspace controls -> unguarded /api/team/contacts media/memory/next-action proxies","Several same-origin proxies perform no requireTeamRole/session validation","Admin key; some upstreams are key-only and next-action permission checks fail open without actor","Partial endpoint-specific audit; no reliable authenticated human attribution at the proxy boundary","static-fail","Anonymous requests can read PII, trigger AI cost, and mutate tasks/automation; known contact UUID may be required. Provider and DB effects need sandbox runtime capture","apps/site/src/app/api/team/contacts/media-analysis/route.ts:8-45; apps/site/src/app/api/team/contacts/sales-agent-memory/route.ts:8-45; apps/site/src/app/api/team/contacts/sales-agent-next-action/route.ts:76-310; apps/api/src/lib/permissions.ts:131-138"
"quotes","Create and send customer quote","Quotes form -> createQuoteAction/sendQuoteAction -> POST /api/quotes and /api/quotes/:id/send","Page renders for owner/office/crew based on appointments.read; server actions have no action-local principal check","Admin key plus quotes.write for create and quotes.send for send","quote.created and quote.sent using forwarded actor","static-mixed","API permission/audit are present, but crew navigation permission can expose a workflow it cannot use and identity-less action calls hit fail-open permission logic when no default actor is injected; price/provider effects need runtime reconciliation","apps/site/src/app/team/page.tsx:791-800; apps/site/src/app/team/actions.ts:224-287,862-1100; apps/api/app/api/quotes/route.ts:288-304,416-425; apps/api/app/api/quotes/[id]/send/route.ts:40-45,130-139; apps/api/src/lib/permissions.ts:131-138"
"expenses","Create expense and store receipt","Expenses form -> POST /api/team/expenses -> POST /api/admin/expenses","Site route accepts any nonempty legacy owner/crew cookie or a team member with expenses.write","Admin key plus expenses.write","expense.created with forwarded actor and amount/category/vendor metadata","static-fail","Forged legacy cookie presence passes the site gate and is forwarded as owner/crew; receipt content is stored as a data URL. File type, duplicate submit, correction, and totals need runtime proof","apps/site/src/app/api/team/expenses/route.ts:39-58,128-153; apps/api/app/api/admin/expenses/route.ts:106-112,240-260; apps/site/src/app/team/lib/api.ts:69-147"
"pipeline","Move contact between CRM stages","Board drag/drop or inline form -> updatePipelineStageAction -> PATCH /api/admin/crm/pipeline/:contactId","Page renders for owner/office; server action has no action-local principal check","Admin key only; pipeline PATCH has no requirePermission","pipeline.updated with forwarded actor","static-fail","Any invoker that reaches the server action can change stage, create a note, and complete sales tasks; concurrent move/rollback and cross-tab consistency remain unexecuted","apps/site/src/app/team/actions.ts:2758-2802; apps/api/app/api/admin/crm/pipeline/[contactId]/route.ts:12-21,49-126"
"sales-hq","Set lead disposition, including lost/DNC automation effects","Sales HQ disposition form -> setSalesDispositionAction -> POST /api/admin/sales/disposition","Page renders for owner/office; server action has no action-local principal check","Admin key plus appointments.update","sales.disposition.set with contact, disposition, and markLost metadata","static-mixed","Upstream check/audit exist, but identity-less action calls can pass fail-open permission resolution when no default actor is injected; DNC, task completion, pipeline loss, and concurrent disposition need runtime verification","apps/site/src/app/team/actions.ts:4990-5038; apps/api/app/api/admin/sales/disposition/route.ts:58-66,83-182; apps/api/src/lib/permissions.ts:131-138"
"simulated-chat","Simulate SMS/DM decision and booking outcome","Simulated Chat client -> POST /api/team/simulated-chat -> /api/admin/sales/simulated-chat","Site proxy requires owner/office, but any nonempty forged legacy owner cookie is accepted by shared role resolution","Admin key plus messages.send","No audit event identified or expected for a non-mutating simulation","static-mixed","The upstream path calls a pure simulator and returns simulated_* outcomes, with no send/booking write found; runtime provider-mock proof is still required and saved runs retain customer context in localStorage","apps/site/src/app/api/team/simulated-chat/route.ts:8-24; apps/api/app/api/admin/sales/simulated-chat/route.ts:121-173; apps/api/src/lib/facebook-sales-autopilot.ts:801-973; apps/site/src/app/team/components/SimulatedChatSection.tsx:112-215"
"outbound","Import up to 2,000 prospects and create/update contacts/tasks","Outbound CSV form -> importOutboundProspectsAction -> POST /api/admin/outbound/import","Page renders for owner/office; server action has no action-local principal check","Admin key plus appointments.update","outbound.imported once per processed contact with campaign/source","static-mixed","Permission/audit exist but identity-less action calls can pass fail-open permission logic when no default actor is injected; import is not transaction-wide and partial failure/idempotency at row 2,000 need runtime verification","apps/site/src/app/team/actions.ts:5529-5614; apps/api/app/api/admin/outbound/import/route.ts:181-209,512-525; apps/api/src/lib/permissions.ts:131-138"
"partners","Invite portal user and send email/SMS","Partner portal invite form -> partnerPortalInviteUserAction -> POST /api/admin/partners/users","Page renders owner-only; server action has no action-local principal check","Admin key plus policy.write","No recordAuditEvent identified for invitation/user upsert or provider send","static-fail","External messages and partner activation can occur through an identity-less server action because permission resolution fails open when no default actor is injected; token behavior, duplicate/inactive users, and delivery need sandbox runtime proof","apps/site/src/app/team/actions.ts:6159-6206; apps/api/app/api/admin/partners/users/route.ts:61-69,75-180; apps/api/src/lib/permissions.ts:131-138"
"partners","Replace partner rate card and rate items","Partner rates form -> partnerPortalSaveRatesAction -> POST /api/admin/partners/rates","Page renders owner-only; server action has no action-local principal check","Admin key plus policy.write","No recordAuditEvent identified for rate-card replacement","static-fail","Pricing changes lack audit attribution and can be reached by identity-less server-action invocation under fail-open permission behavior when no default actor is injected; precedence/booking consequences require fixture replay","apps/site/src/app/team/actions.ts:6208-6245; apps/api/app/api/admin/partners/rates/route.ts:67-75,85-150; apps/api/src/lib/permissions.ts:131-138"
"google-ads","Apply approved negative-keyword recommendation to live Google Ads","Apply recommendation form -> applyGoogleAdsAnalystRecommendationAction -> provider apply endpoint","Page renders owner-only; server action has no action-local principal check","Admin key plus policy.write; recommendation must already be approved","marketing.google_ads_recommendation.apply plus recommendation event with actorMemberId","static-mixed","Approval-state/idempotency checks and audit exist, but identity-less server-action calls can pass fail-open permission resolution when no default actor is injected; actual provider mutation and duplicate/concurrent apply require sandbox verification","apps/site/src/app/team/actions.ts:5209-5261; apps/api/app/api/admin/google/ads/analyst/recommendations/apply/route.ts:20-35,45-125; apps/api/src/lib/permissions.ts:131-138"
"google-ads","Queue Google Ads synchronization","Run sync form -> runGoogleAdsSyncAction -> POST /api/admin/google/ads/sync","Page renders owner-only; server action has no action-local principal check","Admin key only; sync endpoint has no requirePermission","No audit event; only an outbox event is inserted","static-fail","Identity-less invocation can queue provider work with generic/no human attribution; duplicate queueing and provider side effects require runtime proof","apps/site/src/app/team/actions.ts:5096-5115; apps/api/app/api/admin/google/ads/sync/route.ts:10-56"
"web-analytics","read-only/no mutation identified","Range filter GET plus server-rendered GETs for summary/funnel/errors/vitals","Page renders owner-only","Admin key only; analytics GET routes have no requirePermission","No read audit identified","read-only-reviewed","No mutation UI was found, but key-only PII-adjacent analytics reads rely on the page gate; privacy payload and provider leakage need network/runtime inspection","apps/site/src/app/team/components/WebAnalyticsSection.tsx:108-165; apps/api/app/api/admin/web/analytics/summary/route.ts:22-31; apps/api/app/api/admin/web/analytics/funnel/route.ts:15-22; apps/api/app/api/admin/web/analytics/errors/route.ts:15-22; apps/api/app/api/admin/web/analytics/vitals/route.ts:15-22"
"seo","Force immediate AI generation and public blog publication","SEO Run Now form -> runSeoAutopublishAction -> POST /api/admin/seo/run with force=true","Page renders owner-only; server action has no action-local principal check","Admin key only; SEO run endpoint has no requirePermission","No audit log event; seo_agent_state records invokedBy=admin and last result only","static-fail","Identity-less action invocation can cause provider cost and public publication without member attribution; duplicate run, publishing limits, and provider failures need sandbox runtime proof","apps/site/src/app/team/actions.ts:5040-5094; apps/api/app/api/admin/seo/run/route.ts:10-23; apps/api/src/lib/seo/agent.ts:604-778"
