tab_id,intended_users_jobs,states_tested,functionality_data_integrity,utility_task_completeness,ease_workflow_efficiency,simplicity_information_architecture,visual_design_consistency,accessibility_role_access,performance_resilience_observability,weighted_score_0_to_5,weighted_percent,blockers,finding_ids,automation_coverage,verdict,principal_risk
expenses,"owner office crew; enter and review operating spend","static normal/loading/error branches; runtime none",3,4,4,4,4,4,4,3.75,75,"global auth gate; money/upload fixtures unavailable","TEAM-AUTH-001;TEAM-AUTHZ-002;TEAM-QUAL-020","all-tab smoke/screenshot declared; mutation/database assertions pending",Keep,"No correction/edit/delete path is visible after a bad financial entry"
quotes,"owner office sales crew; create send and manage quote lifecycle","static normal/loading/error branches; runtime none",5,5,4,2,4,2,3,3.80,76,"global auth gate; provider/database fixtures unavailable","TEAM-AUTHZ-003;TEAM-AUTHZ-005;TEAM-REL-006;TEAM-QUOTE-007","all-tab smoke/screenshot and custom-deny case declared; lifecycle journey pending",Simplify,"Create and Manage are one long surface and high-consequence lifecycle actions are crowded"
inbox,"owner office sales; triage and respond across channels","static normal/partial-failure/pagination/polling branches; runtime none",5,5,3,1,4,2,2,3.45,69,"global auth gate; message provider fakes unavailable","TEAM-AUTHZ-002;TEAM-AUTHZ-003;TEAM-INBOX-013;TEAM-INBOX-014;TEAM-REL-015","all-tab smoke/screenshot and anonymous-proxy case declared; channel journeys pending",Simplify,"A large multi-workflow surface hides ancillary failures and drops URL pagination offset"
chat,"owner office sales; ask Agent and review proposed actions","static normal/error/approval UI branches; runtime none",4,4,4,2,3,2,3,3.30,66,"global auth gate; AI/provider fakes unavailable","TEAM-AUTHZ-002;TEAM-AUTHZ-003;TEAM-IA-021;TEAM-QUAL-020","all-tab smoke/screenshot declared; action approval tests pending","Move to Advanced","Action proposals and undo are useful but high-consequence and cognitively dense"
pipeline,"owner office sales; manage lead stages and contact context","static normal/empty/error/responsive branches; runtime none",4,5,4,3,4,2,3,3.65,73,"global auth gate; dense/concurrency fixtures unavailable","TEAM-AUTHZ-003;TEAM-AUTHZ-005;TEAM-PERF-018;TEAM-QUAL-020","all-tab smoke/screenshot declared; drag/keyboard/concurrency assertions pending",Keep,"Unbounded board and 720px plus 420px layout create scale and responsive risk"
sales-hq,"owner office sales supervisors; prioritize follow-up and coaching","static normal/empty/dense branches; runtime none",5,5,3,1,4,2,3,3.55,71,"sales role gate; call/message and staff validation unavailable","TEAM-AUTHZ-003;TEAM-IA-021;TEAM-QUAL-020","all-tab smoke/screenshot declared; lead-recovery journey pending",Simplify,"Dense learned-metric terminology competes with the next task"
simulated-chat,"owner office sales trainers; safely exercise automation decisions","static normal/error/local-storage branches; runtime none",4,3,3,3,4,2,4,3.30,66,"global auth gate; AI simulation isolation unproven","TEAM-AUTHZ-002;TEAM-AUTHZ-003;TEAM-IA-021;TEAM-QUAL-020","all-tab smoke/screenshot declared; no-real-send/provider assertions pending","Move to Advanced","Real contact context and local saved simulations need privacy and isolation proof"
outbound,"owner office sales; import assign contact and disposition prospects","static normal/empty/dense/import branches; runtime none",5,5,3,2,4,2,3,3.65,73,"sales role gate; provider and 2000-row fixtures unavailable","TEAM-AUTHZ-003;TEAM-IA-021;TEAM-QUAL-020","all-tab smoke/screenshot declared; partner-acquisition journey pending",Simplify,"Queues filters bulk actions detail and 2000-row import overload one page"
partners,"owner/partner managers; manage referrals portal users and rates","static normal/empty/error branches; runtime none",4,4,3,3,4,4,2,3.55,71,"global auth gate; portal/provider fixtures unavailable","TEAM-REL-015;TEAM-IA-021;TEAM-QUAL-020","all-tab smoke/screenshot declared; portal and rate-precedence assertions pending","Combine with Outbound","API failure is converted into an empty-looking state"
calendar,"owner office sales crew; schedule reschedule and complete jobs","static normal/empty/error/responsive branches; runtime none",4,5,5,4,4,2,3,3.90,78,"global auth gate; calendar/Square/concurrency fixtures unavailable","TEAM-AUTHZ-003;TEAM-AUTHZ-005;TEAM-REL-006;TEAM-DATA-008;TEAM-QUAL-020","all-tab smoke/screenshot declared; day-of-service journey pending",Keep,"DST conflicts money completion and concurrent edits require runtime proof"
